model_id,task,official_source,exact_revision,artifact_filename,estimated_size,code_license,weights_license,commercial_constraints,sha256_method,cache_location,network_required,input_size,keypoint_or_mask_scope,vram_status,recommendation,status
mmpose-rtmpose-rtmw,pose,https://github.com/open-mmlab/mmpose,TBD_PENDING_N2B_APPROVAL,TBD_PER_ARTIFACT,TBD,Apache-2.0,TBD_PER_ARTIFACT,TBD_LEGAL_REVIEW,sha256_after_owner_approved_download,TBD_OUTSIDE_REPO,true,TBD,body_hand_face_wholebody,TBD_PENDING_REAL_BENCHMARK,candidate,RESEARCH_ONLY_DOWNLOAD_NOT_AUTHORIZED
rtmlib,pose,https://github.com/Tau-J/rtmlib,TBD_PENDING_N2B_APPROVAL,TBD_PER_ARTIFACT,TBD,Apache-2.0,TBD_PER_ARTIFACT,TBD_LEGAL_REVIEW,sha256_after_owner_approved_download,TBD_OUTSIDE_REPO,true,TBD,body_hand_face_wholebody,TBD_PENDING_REAL_BENCHMARK,candidate,RESEARCH_ONLY_DOWNLOAD_NOT_AUTHORIZED
mediapipe-selfie-segmentation,segmentation,https://github.com/google-ai-edge/mediapipe/blob/master/docs/solutions/selfie_segmentation.md,TBD_PENDING_N2B_APPROVAL,TBD_PER_ARTIFACT,TBD,Apache-2.0_PROJECT_MODEL_TERMS_REVIEW,TBD_PER_ARTIFACT,TBD_SCOPE_REVIEW,sha256_after_owner_approved_download,TBD_OUTSIDE_REPO,true,256x256_or_144x256,prominent_human,TBD_PENDING_REAL_BENCHMARK,conditional,RESEARCH_ONLY_DOWNLOAD_NOT_AUTHORIZED
paddleseg-pp-humanseg,segmentation,https://github.com/PaddlePaddle/PaddleSeg,TBD_PENDING_N2B_APPROVAL,TBD_PER_ARTIFACT,TBD,Apache-2.0,TBD_PER_ARTIFACT,TBD_LEGAL_REVIEW,sha256_after_owner_approved_download,TBD_OUTSIDE_REPO,true,TBD,human_semantic_segmentation,TBD_PENDING_REAL_BENCHMARK,candidate,RESEARCH_ONLY_DOWNLOAD_NOT_AUTHORIZED
sam2,segmentation_escalation,https://github.com/facebookresearch/sam2,TBD_PENDING_N2B_APPROVAL,TBD_PER_ARTIFACT,TBD,CODE_AND_CHECKPOINT_TERMS_REVIEW,TBD_PER_ARTIFACT,TBD_LEGAL_REVIEW,sha256_after_owner_approved_download,TBD_OUTSIDE_REPO,true,TBD,prompted_instance_mask,TBD_PENDING_REAL_BENCHMARK,escalation_only,RESEARCH_ONLY_DOWNLOAD_NOT_AUTHORIZED
rtmpose-m-wholebody,pose,https://github.com/open-mmlab/mmpose,v1.3.0,rtmpose-m_simcc-coco-wholebody_pt-aic-coco_270e-256x192-cd5e845c_20230123.pth,72010049,Apache-2.0,UNKNOWN,UNKNOWN,sha256_after_owner_approved_download,EXTERNAL_MODEL_CACHE_PENDING_OWNER_APPROVAL,true,256x192,COCO-WholeBody,NOT_MEASURED,preferred,N2B0_5_RIGHTS_CLARIFICATION_BLOCKED
rtmw-m-wholebody-fallback,pose,https://github.com/open-mmlab/mmpose,v1.3.0,rtmw-dw-l-m_simcc-cocktail14_270e-256x192-20231122.pth,129787113,Apache-2.0,UNKNOWN,UNKNOWN,sha256_after_owner_approved_download,EXTERNAL_MODEL_CACHE_PENDING_OWNER_APPROVAL,true,256x192,COCO-WholeBody,NOT_MEASURED,fallback,N2B0_5_RIGHTS_CLARIFICATION_BLOCKED
pp-humansegv2-lite,segmentation,https://github.com/PaddlePaddle/PaddleSeg,release/2.10,human_pp_humansegv2_lite_192x192_inference_model.zip,11349952,Apache-2.0,UNKNOWN,UNKNOWN,sha256_after_owner_approved_download,EXTERNAL_MODEL_CACHE_PENDING_OWNER_APPROVAL,true,192x192,human_semantic_segmentation,NOT_MEASURED,preferred,N2B0_5_RIGHTS_CLARIFICATION_BLOCKED
mediapipe-selfie-segmentation-general,segmentation,https://github.com/google-ai-edge/mediapipe,master,selfie_segmentation.tflite,249505,Apache-2.0,UNKNOWN,UNKNOWN,sha256_after_owner_approved_download,EXTERNAL_MODEL_CACHE_PENDING_OWNER_APPROVAL,true,256x256,prominent_human,NOT_MEASURED,fallback,N2B0_5_RIGHTS_CLARIFICATION_BLOCKED
intel-human-pose-estimation-0001,pose,https://github.com/openvinotoolkit/open_model_zoo,7cc29a91472b4cb1289a11e655ba3e188e1d4a31,human-pose-estimation-0001.xml+bin,16546828,Apache-2.0,Apache-2.0 model-license declaration,PERMITTED subject to notices,official SHA-384 only; SHA-256 absent,NO_CACHE,true,256x456,18 keypoints,NOT_MEASURED,alternative,N2B0_6_OFFICIAL_SHA256_MISSING
intel-human-pose-estimation-0005,pose,https://github.com/openvinotoolkit/open_model_zoo,7cc29a91472b4cb1289a11e655ba3e188e1d4a31,human-pose-estimation-0005.xml+bin,33450870,Apache-2.0,Apache-2.0 model-license declaration,PERMITTED subject to notices,official SHA-384 only; SHA-256 absent,NO_CACHE,true,288x288,17 keypoints,NOT_MEASURED,alternative,N2B0_6_OFFICIAL_SHA256_MISSING
intel-instance-segmentation-person-0007,segmentation,https://github.com/openvinotoolkit/open_model_zoo,7cc29a91472b4cb1289a11e655ba3e188e1d4a31,instance-segmentation-person-0007.xml+bin,18097337,Apache-2.0,Apache-2.0 model-license declaration,PERMITTED subject to notices,official SHA-384 only; SHA-256 absent,NO_CACHE,true,320x544,person instance mask,NOT_MEASURED,alternative,N2B0_6_OFFICIAL_SHA256_MISSING
intel-modnet-webcam-portrait-matting,segmentation,https://github.com/openvinotoolkit/open_model_zoo,7cc29a91472b4cb1289a11e655ba3e188e1d4a31,modnet_webcam_portrait_matting.ckpt,26255603,Apache-2.0,Apache-2.0 model-license declaration,PERMITTED subject to notices,official SHA-384 only; SHA-256 absent,NO_CACHE,true,512x512,alpha matte,NOT_MEASURED,alternative,N2B0_6_OFFICIAL_SHA256_MISSING
